"Name","Location","Category","Area","Perk","Description"
"Pressed Cafe and Mylk","Pressed Cafe and Mylk, Canggu, Bali","Work Cafes","Canggu","","Health-focused cafe in Canggu for juices, smoothies and light eats. | Best for: Healthy cafe + juices"
"Alive Wholefoods Store","Alive Wholefoods Store, Canggu, Bali","Work Cafes","Canggu","","Wholefoods store and health cafe in Canggu. | Best for: Healthy + wholefoods"
"Zin Cafe","Zin Cafe, Canggu, Bali","Work Cafes","Canggu","","Cafe in Canggu, a community favourite. | Best for: Coffee + work"
"Avocado Factory","Avocado Factory, Canggu, Bali","Work Cafes","Canggu","","Health-focused cafe in Canggu, big on avocado and brunch. | Best for: Healthy brunch"
"Secret Spot Canggu","Secret Spot Canggu, Canggu, Bali","Work Cafes","Canggu","","Plant-based cafe in Canggu, a long-running favourite. | Best for: Vegan + brunch"
"Revolver Canggu","Revolver Canggu, Canggu, Bali","Work Cafes","Canggu","","Specialty coffee from the well-known Revolver roastery. | Best for: Specialty coffee"
"Revolver Umalas","Revolver Umalas, Umalas, Bali","Work Cafes","Umalas","","The Umalas branch of Revolver specialty coffee. | Best for: Specialty coffee"
"Baru Cafe","Baru Cafe, Canggu, Bali","Work Cafes","Canggu","","Cafe in the Canggu area, a community favourite. | Best for: Coffee + work"
"Tropical Nomad","Tropical Nomad, Canggu, Bali","Coworking Hubs","Canggu","Free day pass (to verify)","The most serious workspace in Canggu. Quiet by design, fast redundant wifi, lots of phone booths, and a permanent crowd of founders and engineers. Our #1 pick. | Best for: Founder density + deep work | Price: ~$220/mo | BSTC perk: Free day pass (to verify)"
"B Work","B Work, Canggu, Bali","Coworking Hubs","Canggu","Free day pass (to verify)","The all-rounder. Polished, fast wifi, plenty of open desk space, and a balanced mix of founders, designers, and freelance engineers. | Best for: All-rounder, fast wifi | Price: ~$190/mo | BSTC perk: Free day pass (to verify)"
"Outpost Canggu","Outpost Canggu, Canggu, Bali","Coworking Hubs","Canggu","Discounted month pass (to verify)","Hybrid work and lifestyle. Meeting rooms, podcast studios, fast wifi, and a tech-focused membership. | Best for: Hybrid work + lifestyle | Price: ~$210/mo | BSTC perk: Discounted month pass (to verify)"
"Dojo Bali","Dojo Bali, Canggu, Bali","Coworking Hubs","Canggu","Discounted month pass (to verify)","The original. Built the Bali coworking scene and still runs the best community programming: events, intros, talks. Social over deep focus. | Best for: Community + events | Price: ~$180/mo | BSTC perk: Discounted month pass (to verify)"
"Genesis","Genesis, Canggu, Bali","Coworking Hubs","Canggu","Member rate (to verify)","The casual, budget option. A desk and decent wifi without premium rates. Younger, relaxed crowd. | Best for: Budget hot desks | Price: ~$140/mo | BSTC perk: Member rate (to verify)"
"Outpost Ubud","Outpost Ubud, Ubud, Bali","Coworking Hubs","Ubud","Discounted month pass (to verify)","The best deep-work space on the island, set in the rice fields. Quiet rooms and long-stay founders building serious things. 45 minutes from Canggu, so pick one. | Best for: Quiet focus, long stays | Price: ~$200/mo | BSTC perk: Discounted month pass (to verify)"
"Biliq Sanur","Biliq Sanur, Sanur, Bali","Coworking Hubs","Sanur","Member rate (to verify)","Small, friendly, family-oriented. Not a scene, which is the point. The underrated quiet zone for founders who want focus. | Best for: Quiet, family-friendly | Price: ~$160/mo | BSTC perk: Member rate (to verify)"
"Setter","Setter, Pererenan, Bali","Coworking Hubs","Pererenan","Free day pass (to verify)","Quiet, design-led coworking for focus over socialising. Fast wifi and proper call booths make it an easy pick when you need to put your head down and ship. | Best for: Quiet focus | BSTC perk: Free day pass (to verify)"
"Awan Connection","Awan Connection, Canggu, Bali","Coworking Hubs","Canggu","Free day pass (to verify)","Coworking hub in the Canggu area with desks, reliable wifi, and a community of founders and remote workers to plug into. | Best for: Coworking + community | BSTC perk: Free day pass (to verify)"
"Penny Lane","Penny Lane, Berawa, Bali","Restaurants","Berawa","Member discount (to verify)","Long-running gastropub and a reliable expat and founder favourite for dinner and a drink after a build day. | Best for: Casual dinners + drinks | Price: $$ | BSTC perk: Member discount (to verify)"
"Mason","Mason, Pererenan, Bali","Restaurants","Pererenan","Welcome drink (to verify)","Modern dining destination. Where founders take a celebration dinner or host a visiting investor. | Best for: Special-occasion dinner | Price: $$$ | BSTC perk: Welcome drink (to verify)"
"La Brisa","La Brisa, Echo Beach, Bali","Restaurants","Echo Beach","Member discount (to verify)","Beachfront restaurant and sunset spot. The easy pick for a relaxed team or community dinner by the water. | Best for: Sunset team dinners | Price: $$$ | BSTC perk: Member discount (to verify)"
"Warung Bu Mi","Warung Bu Mi, Berawa, Bali","Restaurants","Berawa","","Authentic, cheap, excellent local Indonesian. The antidote to nomad-priced brunch and where locals actually eat. | Best for: Authentic local food | Price: $"
"Meimei","Meimei, Canggu, Bali","Restaurants","Canggu","15% off food & beverage (to verify)","Southeast Asian barbecue, a design-led restaurant and bar. Listed as a partner offering BSTC members 15% off food and beverage, pending our verification visit. | Best for: Dinner + drinks | BSTC perk: 15% off food & beverage (to verify)"
"Yuki","Yuki, Canggu, Bali","Restaurants","Canggu","15% off food & beverage (to verify)","Japanese restaurant and bar. Listed as a partner offering BSTC members 15% off food and beverage, pending our verification visit. | Best for: Japanese dinner | BSTC perk: 15% off food & beverage (to verify)"
"Omni","Omni, Munggu, Bali","Restaurants","Munggu","","A community favourite in the Munggu area, near Tanah Lot. | Best for: Local favourite"
"Mirai Sushi","Mirai Sushi, Seseh, Bali","Restaurants","Seseh","","Sushi spot in the Seseh area, a community favourite. | Best for: Sushi"
"Mostly Restaurant and Bar","Mostly Restaurant and Bar, Pererenan, Bali","Restaurants","Pererenan","","Restaurant and bar in Pererenan. | Best for: Dinner + drinks"
"Te no Aji","Te no Aji, Pererenan, Bali","Restaurants","Pererenan","","Japanese restaurant in Pererenan. | Best for: Japanese dining"
"Riviera Trattoria","Riviera Trattoria, Pererenan, Bali","Restaurants","Pererenan","","Italian trattoria in Pererenan. | Best for: Italian dining"
"ZALI Lebanese Restaurant","ZALI Lebanese Restaurant, Pererenan, Bali","Restaurants","Pererenan","","Lebanese restaurant in Pererenan. | Best for: Lebanese dining"
"ORIGEN Mexican Restaurant","ORIGEN Mexican Restaurant, Pererenan, Bali","Restaurants","Pererenan","","Mexican restaurant in Pererenan. | Best for: Mexican dining"
"Smoke Bali","Smoke Bali, Canggu, Bali","Restaurants","Canggu","","BBQ restaurant in Canggu. | Best for: BBQ + grill"
"Bella Canggu","Bella Canggu, Canggu, Bali","Restaurants","Canggu","","Italian restaurant in Canggu. | Best for: Italian dining"
"Mowie's Berawa","Mowie's Berawa, Berawa, Bali","Restaurants","Berawa","","Beachfront cafe and bar in Berawa, good for food and sunset. | Best for: Beachfront + sunset"
"Mata Berawa","Mata Berawa, Berawa, Bali","Restaurants","Berawa","","Restaurant and bar in Berawa. | Best for: Dinner + drinks"
"Ayam Tulang Lunak Bu Rahayu","Ayam Tulang Lunak Bu Rahayu, Canggu, Bali","Restaurants","Canggu","","Local Indonesian, soft-bone chicken done well. Cheap and authentic. | Best for: Authentic local food"
"ESKQBar Steak House & BBQ Grill","ESKQBar Steak House & BBQ Grill, Canggu, Bali","Restaurants","Canggu","","Steak house and BBQ grill in Canggu. | Best for: Steak + grill"
"Seoul Soul Project","Seoul Soul Project, Canggu, Bali","Restaurants","Canggu","","Korean restaurant in Canggu. | Best for: Korean dining"
"Younghee Bali","Younghee Bali, Canggu, Bali","Restaurants","Canggu","","Korean restaurant in Canggu. | Best for: Korean dining"
"Shelter Restaurant","Shelter Restaurant, Canggu, Bali","Restaurants","Canggu","","Garden restaurant and cafe in Canggu. | Best for: Casual dining"
"The Living Room","The Living Room, Canggu, Bali","Restaurants","Canggu","","Restaurant in the Canggu area, a community favourite. | Best for: Dinner"
"Black Sand Brewery","Black Sand Brewery, Berawa, Bali","Going Out","Berawa","15% off food & beverage (to verify)","Canggu's craft brewery and beer garden. Listed as a partner offering BSTC members 15% off food and beverage, pending our verification visit. | Best for: Craft beer + casual nights | BSTC perk: 15% off food & beverage (to verify)"
"Savaya Bali","Savaya Bali, Uluwatu, Bali","Going Out","Uluwatu","Complimentary entry (to verify)","Cliffside club in Uluwatu and a popular weekend-trip spot for big nights and international DJs. Listed as a partner with complimentary entry for BSTC members, pending our verification visit. | Best for: Weekend big nights out | BSTC perk: Complimentary entry (to verify)"
"Desa Kitsuné Bali","Desa Kitsuné Bali, Canggu, Bali","Going Out","Canggu","Complimentary entry (to verify)","Beach club and restaurant by Maison Kitsuné. Listed as a partner with complimentary entry for BSTC members, pending our verification visit. | Best for: Day-to-night beach club | BSTC perk: Complimentary entry (to verify)"
"WhyHot Lounge Bar & Cafe","WhyHot Lounge Bar & Cafe, Seseh, Bali","Going Out","Seseh","","Lounge bar and cafe, a relaxed spot for drinks. | Best for: Drinks + lounge"
"Manhattan Kitchen & Cocktail Bar","Manhattan Kitchen & Cocktail Bar, Canggu, Bali","Going Out","Canggu","","Kitchen and cocktail bar in Canggu. | Best for: Cocktails + dinner"
"The Back Room Cocktail Bar","The Back Room Cocktail Bar, Canggu, Bali","Going Out","Canggu","","Cocktail bar in the Canggu area. | Best for: Cocktails"
"Ibu Kota Bar & Grill","Ibu Kota Bar & Grill, Canggu, Bali","Going Out","Canggu","","Bar and grill in the Canggu area. | Best for: Drinks + grill"
"Body Factory Bali","Body Factory Bali, Berawa, Bali","Gyms & Wellness","Berawa","Member rate (to verify)","Strong, no-nonsense gym for weights and calisthenics. Popular with the fitness-serious crowd who just want to train. | Best for: Weights + calisthenics | Price: $$ | BSTC perk: Member rate (to verify)"
"CrossFit Wanderlust","CrossFit Wanderlust, Canggu, Bali","Gyms & Wellness","Canggu","First class free (to verify)","Established CrossFit box with daily classes and a tight, welcoming community. Easy to drop into for a session. | Best for: CrossFit + community | Price: $$ | BSTC perk: First class free (to verify)"
"Samadi Bali","Samadi Bali, Canggu, Bali","Gyms & Wellness","Canggu","First class free (to verify)","Yoga studio and wellness centre in Batu Bolong with daily classes and a Sunday market. The reset-and-recover spot. | Best for: Yoga + wellness | Price: $$ | BSTC perk: First class free (to verify)"
"Obsidian II","Obsidian II, Canggu, Bali","Gyms & Wellness","Canggu","","Gym in the Canggu area, a community favourite. | Best for: Training"
"Reload Sanctuary Gym","Reload Sanctuary Gym, Canggu, Bali","Gyms & Wellness","Canggu","","Gym in the Canggu area, a community favourite. | Best for: Training"
"Nirvana Life & Fitness","Nirvana Life & Fitness, Canggu, Bali","Gyms & Wellness","Canggu","","Gym and fitness centre in Canggu. | Best for: Training + classes"
"Right Gym","Right Gym, Canggu, Bali","Gyms & Wellness","Canggu","","Gym in Canggu. | Best for: Training"
"Tribal Bali","Tribal Bali, Canggu, Bali","Stays","Canggu","","Budget co-living and social hostel in Canggu. The cheap, social soft landing for a first stay. | Best for: Budget co-living"
"Founder House","Founder House, Canggu, Bali","Stays","Canggu","BSTC-arranged","BSTC can help organise short-term founder stays. Ask in the community to get set up. | Best for: Short-term, done-for-you | BSTC perk: BSTC-arranged"
"BLive Coliving","BLive Coliving, Canggu, Bali","Stays","Canggu","Member rate (to verify)","Top-rated co-living in the Canggu area, comfortable and community-led. | Best for: Co-living comfort | BSTC perk: Member rate (to verify)"
